Elapsed time,Voltage,Offset SoC
11142.979,4.00186,83.469142
11252.979,3.97761,81.941383
11362.979,3.95982,80.413614
11472.979,3.94656,78.885868
11582.979,3.93621,77.358095
11692.979,3.92747,75.830316
11802.979,3.91971,74.30254
11912.979,3.91162,72.774725
12022.979,3.90289,71.246872
12132.979,3.89319,69.719099
12242.979,3.88349,68.191224
12352.979,3.87378,66.663418
12462.979,3.86408,65.135674
12572.979,3.8547,63.607901
12682.979,3.84597,62.080194
12792.979,3.83723,60.552437
12902.979,3.82915,59.024688
13012.979,3.82106,57.4969
13122.979,3.81395,55.969027
13232.979,3.80716,54.441204
13342.979,3.80036,52.913442
13452.979,3.79389,51.385741
13562.979,3.78775,49.857989
13672.979,3.78193,48.330189
13782.979,3.77611,46.802375
13892.979,3.77093,45.274604
14002.979,3.76576,43.746818
14112.979,3.7609,42.219126
14222.979,3.75605,40.691391
14332.979,3.75152,39.16367
14442.979,3.74732,37.635891
14552.979,3.74344,36.108072
14662.979,3.73956,34.580244
14772.979,3.73632,33.052482
14882.979,3.73341,31.524679
14992.979,3.73082,29.998305
15102.979,3.72824,28.470491
15212.979,3.72533,26.942637
15322.979,3.72209,25.414805
15432.979,3.71853,23.887032
15542.979,3.71433,22.359261
15652.979,3.70915,20.831365
15762.979,3.70398,19.303609
15872.979,3.69816,17.775839
15982.979,3.69201,16.248058
16092.979,3.68457,14.720248
16202.979,3.67584,13.192483
16312.979,3.66905,11.664688
16422.979,3.66484,10.136881
16532.979,3.66064,8.609118
16642.979,3.65482,7.081375
16752.979,3.64414,5.553627
16862.979,3.6215,4.025872
16972.979,3.57752,2.498098
17082.979,3.50377,0.970342
17192.979,3.37893,-0.557391
17302.979,3.04676,-2.05736
17412.979,3.15543,-2.05739
17522.979,3.18131,-2.057351
17632.979,3.19392,-2.05733
17742.979,3.20168,-2.057302
17852.979,3.20718,-2.057323
17962.979,3.21106,-2.057333
18072.979,3.2143,-2.057363
18182.979,3.21689,-2.057414
18292.979,3.21883,-2.057411
18402.979,3.22077,-2.057404
18512.979,3.22238,-2.057447
18622.979,3.22368,-2.057475
18732.979,3.22497,-2.057412
18842.979,3.22627,-2.057395
18952.979,3.22724,-2.057383
19062.979,3.22788,-2.057418
