Elapsed Time,Voltage,Offset SoC
8242.677,4.19398,100.030498
8352.677,4.19301,100.030468
8462.677,4.19204,100.030487
8572.677,4.1914,100.03056
8682.677,4.19075,100.030601
8792.677,4.1901,100.030607
8902.677,4.1901,100.030596
9012.677,4.18946,100.030608
9122.677,4.18946,100.030658
9232.677,4.18913,100.030662
9342.677,4.18881,100.030616
9452.677,4.18881,100.030572
9562.677,4.18849,100.030572
9672.677,4.18816,100.03052
9782.677,4.18816,100.030554
9892.677,4.12218,99.05277
10002.677,4.0879,95.997259
10112.677,4.06008,92.941626
10222.677,4.03324,89.886041
10332.677,4.01448,86.830532
10442.677,3.98116,83.774853
10552.677,3.93685,80.71931
10662.677,3.91098,77.663678
10772.677,3.89254,74.608097
10882.677,3.8754,71.55247
10992.677,3.85729,68.496893
11102.677,3.83885,65.441354
11212.677,3.82139,62.385804
11322.677,3.80521,59.330278
11432.677,3.79001,56.274741
11542.677,3.77611,53.219053
11652.677,3.76284,50.163542
11762.677,3.75088,47.10802
11872.677,3.73988,44.052429
11982.677,3.72985,40.996822
12092.677,3.7208,37.941244
12202.677,3.71336,34.885704
12312.677,3.70721,31.83017
12422.677,3.70139,28.77467
12532.677,3.69492,25.719124
12642.677,3.68716,22.663535
12752.677,3.67778,19.607948
12862.677,3.66581,16.552334
12972.677,3.65352,13.496711
13082.677,3.64253,10.441116
13192.677,3.62862,7.385486
13302.677,3.59207,4.329936
13412.677,3.48728,1.274373
13522.677,3.12341,-1.781175
13632.677,3.20395,-2.020023
13742.677,3.23209,-2.020023
13852.677,3.24567,-2.020023
13962.677,3.25408,-2.020023
14072.677,3.25958,-2.020023
